Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket,Images
11,Pantai Rindu,"Pantai Rindu bisa disebut sebagai pintu gerbang ke Pulau Madura. Dari lokasi Pantai Rindu, wisatawan bisa menyaksikan kemegahan Jembatan Suramadu, lantaran lokasinya hanya berjarak 1 km dari jembatan. Letak Pantai Rindu masih sederet dengan Dermaga Rindu tepatnya di Jalan Raya Sukolilo, Polasari, Kecamatan Labang, Kabupaten Bangkalan.",Wisata Alam,Kabupaten Bangkalan,4.2,Pantai,10000,Pantai_Rindu.png
12,Pantai Goa Petapa ,"Wisata Madura dekat Suramadu selanjutnya adalah Pantai Goa Petapa. Lokasinya berada di Desa Kejawan, Desa Sukolilo Timur, Kecamatan Labang, Kabupaten Bangkalan.  Jaraknya sekitar 3 km dari Jembatan Suramadu sisi Pulau Madura. Pantai Goa Petapa memiliki ombak yang tenang sehingga wisatawan bisa bebas bermain pasir di tepi pantai.",Wisata Alam,Kabupaten Bangkalan,4.4,Pantai,10000,Goa_Petapa.png
13,Pantai Batu Malang,"Meskipun namanya Pantai Batu Malang, namun lokasi pantai ini berada di Madura. Tepatnya di Kejawan, Sukolilo Timur, Kecamatan Labang.  Kecantikan Pantai Batu Malang dapat dilihat dari Jembatan Suramadu, karena hanya berjarak 3,3 km atau 9 menit berkendara. Jadi, pantai ini banyak dikunjungi wisatawan yang ingin menyaksikan keindahan Jembatan Suramadu.",Wisata Alam,Kabupaten Bangkalan,4.1,Pantai,10000,Pantai_Batu_Malang.png
14,Sumber Pocong,"Meskipun namanya seram, namun obyek wisata ini menyajikan kolam pemandian alami yang indah. Air di kolam ini sangat jernih sehingga dasar kolam serta ikan-ikan di dalamnya tampak jelas. Pengunjung bisa berenang sepuasnya di pemandian ini. Menariknya, Sumber Pocong masih alami dengan pepohonan rimbun di sekelilingnya.",Wisata Alam,Kabupaten Bangkalan,4.2,Pemandian,15000,Sumber_Pocong.png
15,Mangrove Labuhan,"Hutan mangrove ini berada di Desa Labuhan, Kecamatan Sepuluh, Kabupaten Bangkalan, sehingga dikenal sebagai Mangrove Labuhan. Pengunjung bisa menyusuri hutan mangrove melalui jembatan kayu sepanjang 350 meter. Selain berfungsi mencegah abrasi, hutan mangrove Labuhan ini merupakan obyek wisata sekaligus wahana edukasi. Pengunjung bisa berkeliling menggunakan kano dan berkemah di kawasan hutan mangrove.",Wisata Alam,Kabupaten Bangkalan,4.3,Magrove,15000,Labuhan_Mangrove_EduPark.png
16,Pelabuhan Kamal,"Pelabuhan Kamal yang semula jadi pusatnya transportasi untuk menghubungkan Pulau Madura dengan Jawa Timur, kini menjadi lebih sepi. Sebab, sudah ada Jembatan Suramadu yang menggantikannya. Meski sepi, pelabuhan ini tidak kehilangan daya tariknya, kamu bisa hunting foto kece di sini.",Wisata Buatan,Kabupaten Bangkalan,4.5,Pelabuhan,Gratis,Pelabuhan_Kamal.png
17,Mercusuar Sembilangan,"Mercusuar Sembilangan sebagai peninggalan kolonialisme Belanda masih beroperasi hingga saat ini. Fungsinya untuk membantu kapal yang masuk ke Tanjung Perak. Saat sore hari, kamu akan melihat keindahan langit senja yang perlahan digantikan dengan gelapnya malam.",Wisata Buatan,Kabupaten Bangkalan,4.9,Mercusuar,15000,mercusuar_sembilangan.png
18,Museum Cakraningrat,"Kabupaten Bangkalan juga memiliki wisata sejarah, salah satunya Museum Cakraningkat. Museum ini merupakan salah satu peninggalan Keraton Bangkalan. Lokasinya berada di pusat kota, tepatnya di Jalan Soekarno Hatta, Kota Bangkalan. Pengunjung bisa menyaksikan beragam koleksi benda antik peninggalan keraton, seperti gamelan, gong, alat perang, dan lain-lain. Tak hanya itu, pengunjung juga bisa mendalami sejarah Kota Bangkalan dan kebudayaannya. Museum ini dibangun sejak 1974, namun baru diresmikan dengan nama Museum Cakraningrat pada 2008 lalu. ",Wisata Buatan,Kabupaten Bangkalan,4,Museum,15000,Museum_Cakraningrat.png
19,Makam Aermata Ebhu,"Makam Aermata Ebhu merupakan situs pemakanan yang berada di  Jalan Raya Buduran Nomor 39, Desa Buduran, Kecamatan Arosbaya, Kabupaten Bangkalan. Kompleks makam ini terletak di perbukitan pada ketinggian 19,35 mdpl, dengan luas sekitar 8.000 meter persegi, berdasarkan informasi dari website Kemendibud",Wisata Buatan,Kabupaten Bangkalan,4.5,Wisata Religi,15000,Makam_Aermata_Ebhu.png
20,Masjid Agung Bangkalan,"Masjid Agung Bangkalan merupakan salah satu masjid bersejarah di Pulau Madura. Masjid yang memiliki nama resmi, Masjid Agung Sultan Kadirun Bangkalan ini, merupakan salah satu warisan sejarah kerajaan Islam yang pernah berdiri di Madura, seperti dilansir dari website Tourist Information Center.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Religi,Gratis,Masjid_Agung_Bangkalan.png
21,Pesarean KH. Moh. Kholil Bin Abdul Latief,"Pesarean KH. Moh. Kholil terletak di Desa Martajasah, Kecamatan Bangkalan. Pesarean ini merupakan peninggalan sejarah yang berupa Makam Agung Ulama tersohor di belahan nusantara pasca kejayaan Wali songo. Pesarean ini relatif dekat dengan pusat kota ditempuh 2 km dan bersebelahan dengan Pantai Sambilangan. Makam KH. Moh Kholil banyak dikunjungi peziarah dan ahli tirakat dari seantero nusantara bahkan dari mancanegara.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Religi,Gratis,MSQ.png
22,Alun-alun Bangkalan,"Alun-Alun Bangkalan terletak di Jalan K. H. Abdul Karim, Demangan, Kecamatan Bangkalan, Kabupaten Bangkalan, Madura, Jawa Timur.",Wisata Buatan,Kabupaten Bangkalan,4.6,Taman,Gratis,AAB.png
23,Pantai Pasir Putih Tlangoh,"Terletak di Desa Tlangoh, Kecamatan Tanjungbumi, Kabupaten Bangkalan, area pantai ini berjarak lebih kurang 40 km dari Kota Bangkalan dan bisa ditempuh dengan waktu kurang lebih satu jam melalui perjalanan darat dengan akses yang sangat mudah.",Wisata Alam,Kabupaten Bangkalan,4.6,Pantai,10000,PPT.png
24,Taman Paseban,"Taman kota menjadi salah satu icon kebanggaan setiap daerah tak terkecuali dengan kota Bangkalan. Untuk kesekian kalinya taman kota Bangkalan mengalami revitalisasi, kali ini jelas tampilannya lebih indah dan rapi. Taman kota Bangkalan yang juga disebut dengan Taman Paseban ini berada tepat di tengah kota berhadapan dengan Masjid Agung Bangkalan dan bersebelahan dengan Gedung Rato Ebu.",Wisata Buatan,Kabupaten Bangkalan,4.6,Taman,Gratis,TBM.png
25,Taman Rekreasi Kota Bangkalan,"Salah satu obyek wisata minat khusus tengah kota yang dikelola langsung oleh Pemerintah Kabupaten Bangkalan. Taman tengah kota yang di penuhi dengan bermacam – macam wahana bermain anak - anak, kolam renang dan danau buatan yang di desain khusus bagi anda yang hobi memancing atau sekedar ingin bermain perahu mengelilingi danau.",Wisata Buatan,Kabupaten Bangkalan,4.6,Taman,Gratis,TRB.png
26,Air Terjun Batu Raja Manitan,"Seperti namanya air terjun yang ada disini memang dipenuhi bebatuan besar, dan indah. Selain memiliki bebatuan besar disini juga memiliki mata air yang jernih, dan pepohonan yang rindang disekitar air terjun ini menambah kecantikan tempat ini. Untuk kalian yang bosan dengan keramaian kota, dan butuh ketenangan tempat ini rekommended banget untuk kalian kunjungi. Karena saat berada di Air Terjun Batu Raja Manitan ini kalian bisa duduk santai mendengar gemuruh air terjun, dan suasana tenang disini juga bikin siapa aja betah berlama-lama ditempat ini.",Wisata Alam,Kabupaten Bangkalan,4.6,Air Terjun,10000,AIRRM.png
27,Air Terjun Kokop,"Air Terjun Kokop yang ada di Kabupaten Bangkalan ini juga menjadi salah satu wisata di Madura yang wajib banget dikunjungi, karena pemadnangan yang ada di Air Terjun Kokop masih asri, dan sangat indah. Air Terjun Kokop ini memiliki ketinggian sekitar 10 meter, dan memiliki 3 tingkat sehingga saat air mengalir membuat Air Terjun Kokop terlihat sangat cantik. Selain air terjunnya indah dikawasan Air Terjun Kokop ini juga dipenui hutan rindang, dan udara yang sejuk disekitar Air Terjun Kokop ini membuat siapa saja betah beralama-lama ditempat ini. Tempat ini juga pantas disebut sebagai surga tersembunyi di Madura guys, Karena air terjun Kokop ini berada dikawasan terpencil, dan membutuhkan tenaga yang extra untuk sampai di air terjun Kokop",Wisata Alam,Kabupaten Bangkalan,4.6,Air Terjun,10000,AIRK.png
28,Air Terjun Campur Arosbaya,"Air Terjun Campur Arosbaya ini berada di bukit kapur yang terkenal banget di Madura yaitu bukit kapur Arosbaya, dan Air Terjun Campur Arosbaya ini memiliki air terjun yang tidk terlalu tinggi. Namun pemandangan yang ada di Air Terjun Campur Arosbaya sangat cantik, dan dengan melihat Air Terjun Campur Arosbaya ini kalian akan merasa tenang sembari mendengar aliran air yang ada di Air Terjun Campur Arosbaya. tempat yang satu bini jangan sampai kalian lewatkan saat kalian berada di Bukit Kapur Arosbaya ya guys! Air Terjun Campur Arosbaya ini bisa jadi spot instagrammable, dan estetik buat kamu.",Wisata Alam,Kabupaten Bangkalan,4.6,Air Terjun,10000,AIRA.png
29,Makam Sunan Cendana,"Makam Sunan Cendana menjadi tempat yang banyak diziarahi oleh para peziarah, baik dari dalam maupun luar Madura. Selain makamnya, di lokasi ini juga terdapat masjid, museum, dan taman yang indah.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Religi,Gratis,MSCK.png
30,Wisata Alam Goa Aren,Tempat wisata selanjutnya adalah wisata goa yang sangat indah dan alami yaitu Goa Aren. Goa ini masih menyatu dengan alam sehingga menciptakan suasana yang sangat asri dan pasti mengagumkan untuk siapa saja yang datang kesini. Daya pikat Goa Aren ini dengan adanya stalaktit dan stalagmit yang terbentuk secara alami. Sangat cocok bagi Anda yang mempunyai hobi fotografi akan dimanjakan dengan bentuknya yang eksotis.,Wisata Alam,Kabupaten Bangkalan,4.6,Goa,15000,WGA.png
31,Perahu Sarimuna Syaichona Moh Cholil,"Perahu Sarimuna peninggalan Syaichona Moh Cholil ini dibuat sekitar abad ke-18 dan hingga sekarang perahu tersebut diperkirakan telah mencapai usia 125 tahun. Sebelum seperti sekarang, perahu ini dulunya lebih kecil kemudian dilakukan renovasi pada tahun 1951 dan pada tahun tersebut perahu masih digunakan oleh masyarakat sekitar. Dan pada Tahun 1982 Perahu Sarimuna tidak lagi digunakan untuk berlayar dilaut dan warga-pun berinisiatif untuk menaikkannya ke daratan.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Religi,15000,PSM.png
32,Gunung Lumut,"Gunung Lumut terletak di Jaddih Barat, Dusun Socah, Desa Jaddih, Kec. Bangkalan, Kab. Bangkalan, Jawa Timur. Tepatnya di pulau Madura bagian barat. Pasalnya gunung atau Bukit ini diberi nama Gunung Lumut karena pada bagian permukaannya banyak ditumbuhi tanaman lumut.",Wisata Alam,Kabupaten Bangkalan,4.6,Gunung,Gratis,GL.png
33,Sentra Batik Tanjung Bumi,"Batik tulis Tanjung Bumi ini sudah lama ada, berawal dari kejenuhan para kaum ibu di kawasan pesisir mengisi waktu luang sambil menunggu suami datang kembali dari berlayar di lautan. Batik ini memiliki ciri khusus yang menjadi pembeda dengan batik tulis dari daerah lainnya. Adanya motif burung yang pasti terdapat di batik Tanjung Bumi ini, serta penggunaan warna merah yang sangat mewakili karakter penduduk pesisir khususnya Pulau Madura.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Batik,15000,SBTB.png
34,Stadion Kerapan Sapi M.Noer,"Bangkalan sendiri mempunyai Lapangan untuk acara Kerapan Sapi ini yakni di Alun-Alun Kota Bangkalan serta di Lapangan R.P. Moch. Noer yang letaknya di daerah Kelurahan Bancaran, Kecamatan Bangkalan dan orang sekitar biasa menyebutkan sebagai “Daerah Skeep / Lapangan Skeep”. Dinamakan R.P. Moch. Noer karna beliau merupakan Putra Madura sekaligus Mantan Gubernur Jawa Timur serta Penggagas dibangunnya Jembatan Suramadu.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Budaya,15000,STDKN.png
35,Kolla Langgundi,Kolla Langgundi sendiri menyerupai kolam yang ukurannya sekira 2 meter x 7 meter. Sebenarnya kalau dilihat langsung ukuran kolam tidak terlalu luas seperti tempat pemandian pada umumnya. Namun walaupun begitu tetap saja sumber mata air ini banyak dikunjungi oleh para peziarah yang sengaja datang untuk menyempatkan diri.,Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Religi,15000,KLAL.png
36,Benteng Erfprins ,"Dulunya, benteng ini merupakan gudang persenjataan VOC, dimana VOC membangun sebuah kekuatan militer di Madura yang bertujuan untuk menumpas berbagai pemberontakan di Cirebon, Bone, Jambi, Bali dan Jawa. Namun, ada keterangan lain yang menjadi alasan mengapa benteng ini dibangun.",Wisata Buatan,Kabupaten Bangkalan,4.6,Wisata Budaya,Gratis,BTE.png
37,Pantai Nepa,"Pantai ini memiliki pasir putih yang terletak di Desa Batioh, Kecamatan Ketapang, Kabupaten Sampang. Nepa merupakan bagian dari objek wisata Hutan Kera Nepa. Untuk berkunjung kesini, Anda hanya perlu membayar sekitar Rp5.000-Rp10.000, dan sudah dapat menikmati pemandangan yang cantik dengan langit biru yang menakjubkan.",Wisata Alam,Kabupaten Sampang,4.6,Pantai,15000,PN.png
38,Pantai Jodoh,"Pantai ini diresmikan pada awal tahun 2017 dan berlokasi di Desa Bira Timur, Kecamatan Sokobanah, Kabupaten Sampang. Anda cukup membayar biaya parkir kendaraan saja, karena tiket masuk pantai ini gratis. Asal-usul nama Pantai Jodoh ini berkisah tentang seorang Jokotole yang memiliki kemampuan supranatural dan hendak memberikan hantaran sebagai lambang cinta kepada pujaan hatinya. Namun, hantaran tersebut jatuh di pantai.",Wisata Alam,Kabupaten Sampang,4.6,Pantai,15000,PJ.png
39,Bukit Masegit,"Bukit Masegit adalah destinasi wisata terbaru yang sedang populer di kalangan generasi milenial, yang terletak di Daerah Piaan, Temoran, Omben, Kabupaten Sampang.",Wisata Alam,Kabupaten Sampang,4.6,Bukit,15000,BMS.png
40,Air terjun Toroan,"Air Terjun Toroan yang berlokasi di Desa Ketapang Daya, Kecamatan Ketapang, Pulau Madura, ini merupakan destinasi favorit penduduk setempat. Air terjun ini memiliki daya tarik tersendiri, termasuk pasir putih, bebatuan, dan pepohonan yang rindang.",Wisata Alam,Kabupaten Sampang,4.6,Air Terjun,15000,AIT.png
41,Gunung Maddah,"Gunung Maddah adalah destinasi wisata menarik yang cocok untuk tempat bersantai sambil menikmati matahari terbenam, yang terletak di Desa Gunung, Kecamatan Kota Sampang, Sampang.",Wisata Alam,Kabupaten Sampang,4.6,Gunung,15000,GM.png
42,Waduk Nipah Banyuates,"Waduk Nipah Banyuates adalah destinasi wisata buatan yang terletak di Desa Montor, Kecamatan Banyuates, Kabupaten Sampang, yang dikelilingi oleh bukit-bukit batu cadas dan pohon-pohon besar.",Wisata Buatan,Kabupaten Sampang,4.6,Waduk,15000,WN.png
43,Makam Ratu Ibu,"Makam ini merupakan lokasi penguburan khusus para bangsawan dan para tokoh pemimpin dari wilayah Sampang. Makam ini sering dikenal dengan sebutan Kuburan Madegan, yang kerap dijadikan sebagai wisata religi dan bersejarah bagi penduduk setempat. Terletak di Desa Polagan, Kabupaten Sampang, Madura, Jawa Timur, destinasi ini adalah tempat yang menarik untuk dikunjungi, yang akan memberikan pemahaman lebih dalam tentang sejarah makam ini dan Kabupaten Sampang.",Wisata Buatan,Kabupaten Sampang,4.6,Wisata Religi,15000,AS.png
44,Pantai Camplong,"Pulau Madura adalah wilayah yang memiliki banyak pantai karena letak geografisnya, salah satunya wisata Pantai Camplong, yang terletak di Desa Dharma Camplong, Kabupaten Sampang.",Wisata Alam,Kabupaten Sampang,4.6,Pantai,15000,R.png
45,Pulau Mandaingin,"Destinasi wisata di Kabupaten Sampang ini cocok bagi penggemar pantai, yang berlokasi di Kabupaten Sampang.",Wisata Alam,Kabupaten Sampang,4.6,Pantai,15000,BY.png
46,Masjid Agung Sampang,"Masjid Agung Sampang, atau dikenal dengan nama Masjid Jamik adalah objek wisata religi yang menjadi kebanggaan masyarakat Madura.",Wisata Buatan,Kabupaten Sampang,4.6,Wisata Religi,Gratis,Y.png
47,Waduk Klampis,"Waduk Klampis mempunyai lokasi tepatnya  di desa Kramat, Kecamatan Kedundung, kurang lebih sekitar 9 km ke arah utara kota Sampang. Obyek wisata Waduk Klampis sendiri sebenarnya berfungsi sebagai irigasi atau pengairan sawah di Kabupaten Sampang terutama di Kecamatan Kedungdung, Torjun, Jrengik dan Sampang. ",Wisata Buatan,Kabupaten Sampang,4.6,Waduk,10000,wdk.png
48,Situs Pababaran Trunojoyo,"Situs Pababaran Trunojoyo adalah sebuah obyek wisata religi yang berlokasi di Kelurahan Rongtengah, Kecamatan Sampang, Madura. Bagi anda yang tertarik dengan wisata yang penuh nilai-nilai sejarah, anda bisa mengajak keluarga terutama anak-anak anda untuk datang kesana. Karena selain berlibur anda bisa mendapatkan informasi-informasi mengenai kejadian sejarah yang mungkin belum pernah anda dan keluarga anda ketahui sebelumnya.",Wisata Buatan,Kabupaten Sampang,4.6,Wisata Budaya,Gratis,TN.png
49,Wisata Rimba Monyet Nepa,"Lokasi dari wisata yang satu ini berada di desa Nepa, Banyuates, Sampang, Madura. Rute dari wisata ini dapat dilalui dengan menggunakan kendaraan pribadi ataupun kendaraan sewaan. Jika Anda berada di Kota Sampang, maka Anda bisa menuju ke wisata yang satu ini sejauh 50 km atau melakukan perjalanan selama satu jam perjalanan.",Wisata Alam,Kabupaten Sampang,4.6,Wisata Budaya,Gratis,OIP.png
50,Gua Wisata Lebar,"Gua Lebar terletak di Kabupaten Sampang bagi teman – teman yang berasal dari luar pulau Madura bisa menumpang bus umum dari Terminal Purabaya Surabaya menuju Kota Sampang melalui Jembatan Suramadu. Tarif bus umum dari Terminal ke Kota Sampang sekitar 50 ribu rupiah. Teman – teman bisa turun di Terminal Kota Sampan namun masih disayangkan belum ada angkutan umum yang bisa ditumpangi untuk menuju Gua Lebar ini. Jadi, kita sarankan agar teman – teman bisa membawa kendaraan pribadi atau bisa meminjam kendaraan jika memiliki kenalan dan keluarga yang tinggal di Sampang.",Wisata Alam,Kabupaten Sampang,4.6,Goa,15000,GLB.png
51,Sumber Jokotole Omben,"Wisata Sumber Jokotole Omben ini memiliki daya tarik berupa pemandian dengan sumber air yang alami dan bersih sehingga terlihat sangat jernih serta menyegarkan. Untuk bisa masuk ke dalamnya, Anda tak perlu membayar tiket masuknya karena masih dikenakan biaya cuma-cuma alias gratis. Dan meskipun objek wisata ini masih dikelola secara mandiri oleh warga sekitar pemandian, namun menariknya sudah tersedia banyak fasilitas untuk memberikan kenyamanan tersendiri bagi pengunjung yang datang kesana.",Wisata Buatan,Kabupaten Sampang,4.6,Wisata Budaya,15000,PJO.png
52,Gua Macan,"Lokasi wisata gua yang berada di desa Bira Temor, kecamatan Sokobanah, kabupaten Sampang Jawa Timur ini memiliki pemandangan alam yang sangat indah dan mempesona semua pengunjung yang datang kesana. Anda bisa berfoto di spot yang menarik dan instagrammable yaitu dengan pemandangan bebatuan eksotis yang berderet di sepanjang dinding Gua Macan.",Wisata Alam,Kabupaten Sampang,4.6,Goa,15000,GLGM.png
53,Air Terjun Durbugen,"Wisata air terjun jadi salah satu yang banyak dipilih terutama bagi yang sedang menginginkan menikmati udara segar. Salah satu air terjun yang bisa dikunjungi saat berada di Pamekasan, Madura yaitu Air Terjun Durbugen.",Wisata Alam,Kabupaten Pamekasan,4.6,Air Terjun,Gratis,AIDB.png
54,Api Abadi,"Tempat wisata selanjutnya adalah api abadi. Disebut dengan api abadi karena api ini memang tidak pernah padam. Objek wisata ini berlokasi di Desa Larangan. Lokasi cukup mudah untuk dijangkau karena tidak jauh dari pusat kota. Akses lokasi ini cukup sulit untuk mencapainya, wisatawan dianjurkan untuk berhati-hati.",Wisata Alam,Kabupaten Pamekasan,4.6,Wisata Budaya,15000,APB.png
55,Wisata Pantai Jumiang Pamekasan,"Pantai ini diresmikan pada awal tahun 2017 dan berlokasi di Desa Bira Timur, Kecamatan Sokobanah, Bagi yang suka dengan wisata pantai, maka pantai Jumiang bisa menjadi pilihannya. Pantai ini dikenal dengan pemandangannya yang eksotis. Pantai yang memesona ini memiliki hamparan putih dan air lautnya kebiruan dan jernih menambah sisi eksotis pantai ini.",Wisata Alam,Kabupaten Pamekasan,4.6,Pantai,15000,PJP.png
56,Pantai Talang Siring,"Pantai Talang Siring terletak di Desa Montok. Dari pusat kota Pamekasan berjarak sekitar 14 Km. Bagi yang tidak mempunyai kendaraan pribadi untuk ke pantai ini, telah ada angkutan umum yang disediakan. Jadi wisatawan tidak perlu bingung-bingung untuk mencari kendaraan. Pantai ini mempunyai gugusan mangrove yang indah ini akan sangat rugi jika dilewatkan. Di samping itu, pengunjung juga disuguhi oleh pemandangan para nelayan yang sibuk menangkap ikan dan menjualnya. Pantai ini menjadi salah satu rekomendasi bagi yang sudah pernah dengan suasananya kota.",Wisata Alam,Kabupaten Pamekasan,4.6,Pantai,15000,PTS.png
57,Vihara Avalokitesvara,Tempat wisata berikutnya adalah Vihara Avalokitesvara. Vihara berlokasi tidak jauh dari pantai Talang Siring. Luas Vihara kurang lebih 3 ha. Vihara didirikan sekitar abad 18. Vihara ini sungguh memesona karena mempunyai ciri arsitektur dari Negeri Tirai Bambu Cina dengan warna merah mendominasi bangunan. Patung Kwan In yang dikenal sebagai Dewi Welas Asih berdiri megah di dalam Vihara. Uniknya adalah terdapat mushola di dekat Vihara. Hal ini sebagai simbol toleransi antar umat beragama. Ini menjadi bentuk wujud harapan dan doa seupaya Suasana damai dan tentram tercipta di sana.,Wisata Buatan,Kabupaten Pamekasan,4.6,Wisata Religi,15000,WAD.png
58,Goa Blaban,"Pamekasan juga menyimpan wisata goa yang tidak kalah elok dibandingkan pantainya. Dan salah satunya adalah Goa Blaban. Goa ini merupakan tempat wisata baru. Dulunya, warga sekitar secara tidak sengaja menemukan goa saat sedang menggali sumur. Dan jadilah tempat wisata seperti saat ini. Goa Blaban terletak di Desa Blaban. Goa ini dikenal karena keindahan batuannya yang berwarna emas. Stalagmit dan stalagtit di dalam goa akan membuat wisatawan bertahan lama di dalam goa.",Wisata Alam,Kabupaten Pamekasan,4.6,GOA,15000,WBQ.png
59,Rawa Mangunan,"Objek wisata Pamekasan selanjutnya adalah Rawa Mangunan. Lokasi obyek rawa yang ini dekat dengan Pantai Juming. Akses jalan menuju lokasi tidak terlalu baik membuat wisatawan. Di sana, pengunjung akan disuguhi pemandangan rawa dengan hutan bakau lebat sebagai hiasan. Suasana hutan bisa membuat hati merasa nyaman. Di dekat lokasi rawa Mangunan belum tersedia fasilitas seperti yang ada di tempat wisata lain. Di sana belum ada warung untuk makan juga.",Wisata Alam,Kabupaten Pamekasan,4.6,Rawa Mangun,15000,WQE.png
60,Bukit Kampung Toron Samalem,"Kampung Toron Samalem berlokasi di Dusun Toron Smalem, Desa Blumbungan. Awalnya tempat ini adalah lokasi bekas penambangan batu bara. Dan karena sudah tidak jadi lokasi penambangan, maka dijadikan lokasi wisata yang elok dan indah. Terdapat rumah mini dari rumbia dan kayu. Bagi wisatawan yang punya hobi berfoto ria, pasti betah dan senang berlama-lama di kampong ini. Penyebabnya adalah sudah disediakan bermacam-macam spot foto yang indah dan layak dipajang di media sosial.",Wisata Alam,Kabupaten Pamekasan,4.2,Bukit,15000,Kampung_Toron_Samalem.png
